ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
DDB_G0286211	0	0	0.84179304878613	1.08066459138142	0	0.765256632098084	0	0	0.383681802653778	0.80328877595315	0	0	0	0	0	0	0	0
DDB_G0286213	0	0	0	0	0	2.45998535139954	2.21894016330837	0	2.46675840375047	0	0	0	0	0	0	0	0	0
DDB_G0286215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0286217	3.00770166414226	11.5728454252582	23.3133897622730	11.7577890701120	3.90794118393577	1.51383713932280	2.73100327791798	6.28025651645254	6.07202068615499	19.0688717739829	10.2240872246303	3.9975282566507	0.946779699456297	3.37502788074392	0	0	0	0
DDB_G0286219	43.027878824827	180.748955653072	277.568253371004	173.115845921220	190.116685490505	120.006502059355	135.667801744877	40.9384201983397	228.022514742365	257.572440421187	245.116491981670	198.453682372943	151.350865390235	127.240710367322	799.037164087616	501.286676430139	243.901732602232	169.608333165861
DDB_G0286221	11.8605495618422	26.0778726587582	85.3671529409414	94.417186425268	62.6695608281177	51.3390305456698	40.9237925577439	18.1613808352413	51.4803817701124	91.4885331801534	94.7463448720182	51.2324305229164	36.5885391152813	27.9490284730465	60.9952033654669	28.8776667367436	41.5437017069736	27.8461442511114
DDB_G0286223	53.2485731784568	35.4611272729849	172.353793941522	151.753567703769	122.850352943966	86.5881204879900	66.0161883716103	17.8182895560727	65.119892001752	149.862646174586	161.862921275378	132.698506000211	98.9594307072855	60.3262797391528	121.990406730934	149.571504636467	564.1902715689	460.727113972935
DDB_G0286225	0	0	3.29667468633901	42.3215611956797	536.400042558401	629.357127571945	405.491905713776	0	0	3.14588220623072	32.047606941129	405.587084214699	412.354105419177	275.613205610584	28.4644282372179	50.3508035409889	1.34011940990238	103.79017402687
DDB_G0286227	23.9027379429485	9.73242886118278	596.018985022113	828.701032968783	1156.39773172823	542.719684584626	390.667803303029	20.950007124757	9.82980860455557	661.366650355612	681.117745536856	931.30426384025	997.099281823477	499.68289120962	609.952033654669	376.150120570917	607.074092685776	154.419527210709
DDB_G0286229	3608.87344227032	705.244741851307	263.380229570954	250.009343788545	161.737681890017	141.944297998462	193.460509502286	2347.91280712444	378.517549990569	165.372209686198	179.528753501170	204.918906938487	183.402051762419	251.253788866623	36.5971220192801	469.447197720397	107.20955279219	35.4405472286873
DDB_G0286231	8.75374578381557	139.540181775918	339.261519470126	391.978908182328	235.059402372169	202.673123851011	246.401353616579	268.082199877539	205.440175825751	342.243056755285	376.917291710709	325.768244605780	225.955004079125	235.747871673948	65.061550256498	93.2970771494794	9.38083586931663	91.1328357309102
DDB_G0286233	4.41163066999210	5.38882387783237	113.985225022924	147.027071869383	207.628755384579	136.188399228641	96.583699635134	4.09410763244713	6.1849350247575	107.217573745939	126.914539227010	142.352423521114	121.281166427575	86.9073151897596	168.753395977792	101.442060075228	163.49456800809	121.510447641214
DDB_G0286235	0	0	1.62158300254933	0	2.53698882597297	0	7.97820646000109	0	0	1.54741052697292	0	0	0	2.46490634582493	0	0	0	5.0629353183839
DDB_G0286237	8.84450119795425	4.25391447761101	13.4663119750776	14.5372850334994	15.3223487976099	5.56452064040835	5.5212004269413	6.925437903147	6.69580965338396	12.2662454027529	9.70853265466122	12.4899031272243	4.87220524571178	4.34204191176341	10.1658672275778	11.1067948987476	30.8227464277546	10.1258706367678
DDB_G0286239	1587.51191060477	130.027890286447	187.443287635211	219.037879053087	203.024486631938	167.123873256430	182.276994871576	569.462832661008	250.280700194094	184.602481279981	249.595780531293	203.352054740755	215.192631765518	182.035657857217	270.41206825357	561.263368883376	96.488597512971	60.7552238206068
DDB_G0286241	896.196438775804	116.544972504741	959.76690017563	2030.96697249304	2539.74235974280	1108.66334364014	709.468257459107	286.947931660439	98.587988942891	1184.50672867985	1715.08380124337	3136.34396328976	1736.53256941442	1055.21402318391	794.970817196585	419.096394179408	2717.76216328202	1420.15335680668
DDB_G0286243	11.1960692665974	270.312225981299	302.311114866363	565.31087919438	897.822164440906	423.941057398425	403.51472844648	24.5769198433263	251.022533175255	328.524995604917	661.881986795477	924.60444545663	409.367492608457	346.943920423737	380.20343431141	630.865950248861	1047.97337854366	625.272511820412
DDB_G0286245	0	25.039749407909	53.3524780880226	26.1515110636690	37.1823951499572	14.1095660263773	12.7270199901668	0	25.6439999206211	30.5472563921945	32.7568214342981	26.1974236037402	14.8911150613012	8.84717049033311	2.03317344551556	8.1449829257482	0	15.1888059551517
DDB_G0286247	56.6277305050159	127.472255228644	167.21318421344	65.16538990549	18.6862369865008	16.2867904042229	29.3818118378263	123.872576076635	89.8239796114446	145.317872101582	88.6087060916454	51.9678380970704	40.7441517280145	24.207082903988	8.13269378206225	13.3281538784971	4.02035822970713	12.6573382959597
DDB_G0286249	0	0	0	0	3.01501698226799	1.16794098698524	1.05349861653491	0	0	1.22598595878701	0.657332406834492	0	0.73045031590072	0	8.13269378206225	0	0	0
DDB_G0286251	66.80680868436	392.841588695397	196.983743112914	147.973957281763	120.447366716131	54.738729147288	57.8393751757815	47.5802061309243	684.549739351221	279.087370590525	152.718021586776	135.254074453898	80.2066356909167	67.992261490068	187.051956987432	195.479590217957	36.1832240673641	177.202736143436
DDB_G0286253	17.6687140174857	3.23736034735392	6.52163239077438	10.4653055951205	12.753979041226	12.8454754610712	10.6955013687302	5.46567488877027	5.94500435836529	16.5955408571608	10.0102167387746	14.3509915125571	6.79781432866853	5.50738007924796	32.530775128249	19.2517778244958	36.1832240673641	45.5664178654551
