ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
DDB_G0278777	0	0	0	1	10	9	6	0	0	0	4	4	8	5	2	0	1	0
DDB_G0278779	5689	6965	765	687	999	1249	1457	4983	13104	1108	1469	1849	1593	3615	782	3972	669	19
DDB_G0278781	236	175	562	693	1052	780	1265	227	594	434	930	1015	1143	1507	599	1389	546	803
DDB_G0278783	171	131	187	271	157	58	78	74	340	204	317	203	171	131	53	184	108	25
DDB_G0278785	73	18	10	17	7	4	0	62	39	11	6	12	12	6	2	25	18	0
DDB_G0278787	2	87	4	14	5	1	7	2	400	1	8	7	4	7	2	16	1	1
DDB_G0278789	175	29	30	127	321	306	216	77	66	44	181	519	429	463	251	129	210	16
DDB_G0278791	7	6	54	137	135	84	57	3	37	59	202	155	131	119	75	53	23	25
DDB_G0278793	542	199	127	282	302	241	299	499	417	158	379	416	452	466	564	449	185	28
DDB_G0278795	2	5	20	24	34	11	5	1	41	11	36	16	18	10	13	14	1	2
DDB_G0278797	119	49	176	223	81	22	27	64	82	258	260	145	73	55	16	131	38	4
DDB_G0278799	160	118	193	492	404	291	394	41	353	171	594	434	568	584	362	569	107	50
DDB_G0278801	30	10	31	92	56	47	44	35	29	41	82	66	98	82	94	31	28	6
DDB_G0278803	182	42	56	248	158	189	177	268	75	75	241	288	493	406	102	301	49	28
DDB_G0278805	94	32	9	31	58	196	72	83	49	8	21	49	489	245	28	106	161	70
DDB_G0278807	51	203	618	1313	1125	1717	1337	50	946	597	1988	1584	3648	2765	1428	745	83	1231
DDB_G0278809	73	130	230	291	264	132	221	64	352	239	396	316	229	222	256	618	155	43
DDB_G0278811	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
DDB_G0278813	3	3	2	2	0	0	2	15	2	0	2	0	4	2	0	4	2	0
DDB_G0278815	654	168	398	707	542	316	443	686	428	510	897	620	542	851	408	2369	228	216
DDB_G0278817	4	0	1	2	5	2	5	5	2	0	2	2	2	3	1	1	6	0
DDB_G0278819	40	10	43	83	134	70	71	17	32	34	93	101	66	57	138	200	421	21
DDB_G0278821	148	13	22	20	15	2	2	15	21	23	37	13	10	5	5	29	18	30
DDB_G0278823	0	0	32	217	251	149	231	0	0	44	337	218	146	203	1	69	83	967
DDB_G0278825	13	8	149	354	519	37	13	8	35	369	769	501	76	30	248	91	4	6
DDB_G0278827	91	276	393	432	465	130	186	77	714	369	718	511	222	223	314	320	472	22
DDB_G0278829	0	0	3	0	5	4	14	0	6	1	3	0	5	17	0	4	0	0
DDB_G0278831	569	379	286	461	440	717	1193	581	647	243	475	680	1534	2270	1053	695	591	98
DDB_G0278833	1160	64	34	43	22	22	42	181	203	57	102	47	66	85	8	85	3	2
DDB_G0278835	1	0	4	1	1	0	4	3	11	1	5	5	6	2	0	1	0	0
DDB_G0278837	89	47	12	55	10	6	33	65	105	31	81	46	38	36	37	49	46	0
DDB_G0278839	41	11	11	20	19	8	9	3	36	12	34	20	18	11	37	34	3	1
DDB_G0278841	0	3	7	44	44	14	19	3	14	21	58	36	21	21	96	92	2	4
DDB_G0278843	116	86	117	138	45	32	53	71	107	121	148	68	48	119	230	246	54	31
DDB_G0278845	98	387	392	526	253	348	766	60	940	467	723	358	529	1203	198	585	130	15
DDB_G0278847	174	1122	374	221	78	31	37	288	3799	370	273	155	119	88	18	118	45	11
DDB_G0278849	321	610	1088	1778	1164	481	471	259	1799	1431	2161	1805	1255	1051	155	707	175	130
DDB_G0278851	235	138	385	726	306	135	107	153	271	478	818	574	399	303	175	273	331	52
DDB_G0278853	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
DDB_G0278855	1	6	6	2	4	0	1	0	4	1	1	1	1	1	1	3	0	0
DDB_G0278857	0	0	0	2	0	3	2	0	3	0	0	0	1	1	0	5	0	0
DDB_G0278859	0	0	0	3	3	3	3	0	0	0	2	0	0	1	0	3	0	0
DDB_G0278861	0	3	2	4	2	6	1	1	4	2	7	2	3	8	0	1	3	1
DDB_G0278863	767	1435	2592	3698	2509	2165	3429	522	4509	2851	4739	4098	4549	5656	1301	2896	192	148
DDB_G0278865	159	47	76	137	37	37	68	305	81	81	81	101	284	133	263	210	19	138
DDB_G0278867	321	565	433	408	310	497	689	346	1104	329	594	361	649	847	265	1240	131	26
DDB_G0278869	24	18	104	180	187	203	232	18	35	89	216	188	232	284	33	97	100	17
DDB_G0278871	1	2	4	2	2	0	2	2	6	6	4	1	3	3	3	13	7	2
DDB_G0278873	899	322	305	261	42	25	33	173	639	244	201	82	77	53	25	114	21	30
DDB_G0278875	17	15	1	2	1	6	2	9	33	5	4	0	7	7	4	89	3	1
DDB_G0278879	116	352	114	186	116	76	98	149	776	86	298	119	133	140	27	485	656	14
DDB_G0278881	0	0	185	1067	2608	2063	2577	0	0	100	1195	1597	1942	2492	577	100	116	144
DDB_G0278883	17	87	81	236	426	168	323	35	305	103	339	392	305	437	318	194	450	27
DDB_G0278885	749	4162	2900	1514	477	216	290	1100	12682	3865	2142	1126	800	624	192	2218	642	1288
DDB_G0278887	204	106	350	484	327	312	623	124	220	314	525	482	530	1161	192	127	48	10
DDB_G0278889	4	3	17	37	26	17	42	18	13	15	42	19	18	33	26	29	15	0
DDB_G0278891	8	7	59	91	73	37	54	15	68	55	144	77	78	75	13	102	34	58
DDB_G0278893	206	187	400	518	274	189	316	90	593	373	512	353	342	604	151	283	37	97
DDB_G0278895	403	434	500	550	541	381	536	146	1541	695	933	704	726	828	350	933	82	62
DDB_G0278897	140	77	42	116	475	495	493	43	265	64	192	476	486	703	208	450	199	26
DDB_G0278899	4	5	14	12	54	23	45	0	17	1	20	22	12	28	9	21	0	1
DDB_G0278901	173	171	328	357	237	101	133	86	442	319	448	277	215	212	37	264	72	41
DDB_G0278903	1	0	1	4	1	2	1	0	4	1	4	2	1	1	0	4	0	0
DDB_G0278905	14	63	25	5	8	8	6	19	161	17	21	10	14	15	2	52	6	2
DDB_G0278907	131	451	384	564	295	230	228	109	1836	535	909	423	480	414	377	694	21	64
DDB_G0278909	1011	673	1002	1842	862	857	1068	449	1515	880	3111	1066	1264	1647	293	1436	202	36
DDB_G0278911	0	2	249	459	991	354	248	0	1	110	476	442	246	227	238	152	233	409
DDB_G0278913	66	2	9	18	36	41	18	12	2	6	35	13	28	21	26	23	4	4
DDB_G0278915	3	3	2	3	8	8	0	5	3	2	3	3	0	4	2	2	11	5
DDB_G0278917	0	1	0	2	6	1	2	0	0	1	8	4	2	1	2	0	0	0
DDB_G0278919	27	3	19	33	55	16	29	8	20	14	62	45	35	27	0	60	5	12
DDB_G0278921	7	28	18	23	13	7	8	5	39	11	27	22	6	5	7	25	19	6
DDB_G0278923	58	160	95	156	105	35	35	44	399	83	231	164	80	66	14	51	7	9
DDB_G0278925	5	2	5	3	9	3	10	2	6	6	5	3	5	3	1	7	1	0
DDB_G0278927	0	1	41	85	129	136	134	0	0	33	85	113	135	155	131	80	127	27
DDB_G0278929	4	12	29	44	56	27	18	6	31	36	45	37	19	26	112	40	45	3
DDB_G0278931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0278933	9	4	3	3	1	3	7	18	7	2	9	1	1	12	7	26	0	0
DDB_G0278935	7	7	34	67	47	9	9	6	11	55	111	61	14	14	27	20	11	2
DDB_G0278937	37	18	19	95	60	90	27	23	26	28	110	89	102	78	62	184	37	13
DDB_G0278939	0	0	0	1	3	4	2	1	1	0	0	0	2	0	0	0	0	0
DDB_G0278941	3	2	0	2	2	1	1	3	3	2	2	1	0	2	1	6	0	0
DDB_G0278943	1	0	0	0	0	2	1	1	1	1	1	0	1	1	1	4	0	0
DDB_G0278945	17	9	45	72	41	16	24	8	30	51	93	63	32	23	24	33	535	156
DDB_G0278947	92	62	39	22	17	65	462	55	324	24	30	19	109	670	6	89	1	2
DDB_G0278949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
DDB_G0278951	2	0	3	1136	629	285	330	0	2	0	1178	1210	807	683	44	462	2	155
DDB_G0278953	7	10	854	1720	5365	1087	2327	5	26	730	3065	4735	1512	2396	854	76	7016	127
DDB_G0278955	27	9	25	54	61	34	24	33	39	23	61	75	45	36	10	31	4	4
DDB_G0278957	15	17	23	76	45	33	29	9	41	25	80	51	35	30	30	46	18	6
DDB_G0278959	5229	6111	1419	2354	900	771	1041	12000	11599	950	2038	1228	1593	1954	323	4112	209	52
DDB_G0278961	20	75	59	47	91	75	50	26	245	37	53	85	116	87	8	104	14	36
DDB_G0278963	53	163	114	76	115	78	179	36	248	75	172	83	65	167	108	83	22	3
DDB_G0278965	1	0	2	5	3	5	6	2	6	2	7	3	4	5	0	11	0	0
DDB_G0278967	348	264	292	452	162	97	130	224	745	307	469	319	264	223	84	518	155	183
DDB_G0278969	112	561	591	726	283	98	114	302	2102	753	966	405	253	192	121	416	296	254
DDB_G0278971	355	1370	734	706	966	1253	2081	332	2447	762	1957	1269	1297	2856	2522	5010	150	103
