jgi_id	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio1.prespore	bio1.prestalk	bio2.prespore	bio2.prestalk
73933	0	1	0	0	0	0	0	0	3	0	1	2	1	3	0	0	1	0
73934	2	0	5	16	15	6	1	6	3	8	17	10	6	1	5	2	7	15
73937	21	56	118	551	125	9	17	27	75	385	707	107	23	8	26	26	23	29
73943	267	666	181	381	454	169	336	439	863	535	522	305	275	227	372	111	498	131
73944	1	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
73949	2	7	7	44	49	23	14	4	10	9	62	38	24	19	39	4	58	10
73959	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
73960	0	1	0	0	0	1	0	0	2	2	4	0	1	0	2	2	1	0
73961	0	0	0	0	1	2	1	0	1	0	1	2	0	2	1	0	0	0
73962	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0
73963	0	3	0	0	1	2	0	0	5	1	2	1	6	2	2	0	1	1
73966	2	9	8	0	1	3	0	5	6	4	1	1	1	4	4	6	4	3
73968	8	7	10	16	10	10	14	10	10	18	19	8	24	14	3	5	13	6
73970	59	13	6	5	31	9	3	120	20	17	8	12	12	6	16	2	24	5
73979	52	56	24	35	25	25	72	82	69	61	35	24	56	85	37	15	51	30
73981	26	75	43	36	76	34	49	37	132	53	44	71	61	36	50	20	68	65
73982	22702	9838	1800	687	292	358	193	30839	15332	3889	1518	287	463	664	74	803	131	181
73985	15	19	27	22	50	61	56	18	22	11	19	35	57	68	63	23	90	101
73989	11	37	2	2	2	1	2	7	51	9	0	0	2	5	2	2	3	4
73990	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
73991	1	13	6	0	2	1	9	4	11	11	6	0	3	11	0	4	3	0
73996	21	20	6	18	16	13	5	34	16	16	29	14	13	14	33	3	30	4
73997	180	443	396	18	86	130	112	358	709	541	61	124	141	151	59	89	115	418
74005	0	100	349	36	61	41	162	3	74	256	29	45	55	90	15	6	20	46
74006	0	0	0	4	22	33	62	0	0	0	2	15	84	69	11	17	18	199
74010	0	0	75	143	122	82	50	0	6	106	199	131	104	59	116	61	147	291
74017	29	10	18	20	13	6	14	53	23	22	30	19	11	15	13	1	11	17
74019	25	110	22	4	10	80	56	70	162	18	7	11	81	55	19	23	22	111
74021	1	1	18	9	5	12	10	1	9	17	9	6	12	11	10	9	1	3
74022	8	11	66	47	7	12	12	20	35	112	93	13	12	31	15	36	18	67
74023	132	209	14	3	6	7	20	184	259	30	7	3	8	15	11	54	7	25
74027	0	1	0	0	4	6	5	1	1	0	0	3	6	7	4	0	9	2
74028	154	402	671	555	157	50	94	274	620	1089	1029	131	85	95	87	80	180	255
74029	194	66	29	10	9	2	6	230	117	40	15	7	3	5	14	2	12	2
74044	3	3	11	16	14	10	8	7	5	22	11	20	16	10	17	10	19	14
74050	17	18	62	36	33	22	19	35	29	19	60	16	24	46	100	12	102	31
74058	7	22	52	9	2	3	7	11	22	43	15	3	5	7	2	10	2	11
74059	783	76	45	7	23	27	21	1449	148	44	12	30	39	30	26	88	43	205
74064	0	0	2	0	0	1	0	0	0	1	1	2	0	1	0	2	0	0
74065	8	188	327	221	97	69	90	22	305	646	408	87	108	104	30	39	57	162
74070	64	14	16	18	23	7	9	137	37	33	28	11	10	6	14	1	34	6
74075	22	19	16	17	49	23	25	29	23	36	38	36	37	34	79	15	79	19
74076	2	0	2	0	2	3	9	10	0	1	1	4	5	25	2	0	1	0
74078	1	0	0	0	1	0	4	0	0	0	0	0	0	4	0	0	0	1
